"Ticker","Period","Date","""Open""","""High""","""Low""","""Close""","""Volume""","""LogReturn""","Sector"
"IBM","M","2023-03-31","123.36000061035156","131.47999572753906","122.87999725341797","131.08999633789062","24592166","0","SoftwareAndServices"
"IBM","M","2023-04-28","130.97000122070312","132.61000061035156","124.55999755859375","126.41000366210938","83680219","4.629256429069484","SoftwareAndServices"
"IBM","M","2023-05-31","126.3499984741211","130.07000732421875","120.55000305175781","128.58999633789062","96214788","-3.570060879182879","SoftwareAndServices"
"IBM","M","2023-06-30","128.44000244140625","139.468994140625","127.77999877929688","133.80999755859375","101302917","3.11814315496437","SoftwareAndServices"
"IBM","M","2023-07-31","133.4199981689453","144.60499572753906","131.5500030517578","144.17999267578125","85778938","4.059414705158493","SoftwareAndServices"
"IBM","M","2023-08-31","144.25","147.7270050048828","139.75999450683594","146.8300018310547","84274205","7.74979097705053","SoftwareAndServices"
"IBM","M","2023-09-29","147.25999450683594","151.92999267578125","139.61000061035156","140.3000030517578","82806487","3.024393170535933","SoftwareAndServices"
"IBM","M","2023-10-31","140.0399932861328","144.75","135.8699951171875","144.63999938964844","38989196","-4.447319143134276","SoftwareAndServices"
"IBM","M","2023-11-30","145.","158.58999633789062","144.47000122070312","158.55999755859375","25835497","3.0933686696282825","SoftwareAndServices"
"IBM","M","2023-12-29","158.41000366210938","166.33999633789062","158.","163.5500030517578","41608685","10.865030676714404","SoftwareAndServices"
"IBM","M","2024-01-31","162.8300018310547","196.88999938964844","157.89999389648438","183.66000366210938","52628799","3.1470771758306038","SoftwareAndServices"
"IBM","M","2024-02-29","183.6300048828125","188.9499969482422","178.75","185.02999877929688","39264306","12.295934108902152","SoftwareAndServices"
"IBM","M","2024-03-28","185.49000549316406","199.17999267578125","185.2899932861328","190.9600067138672","52933253","1.6530696951599255","SoftwareAndServices"
"IBM","M","2024-04-30","190.","193.27999877929688","165.25999450683594","166.1999969482422","69768452","3.204890003616989","SoftwareAndServices"
"IBM","M","2024-05-31","165.69000244140625","175.38999938964844","162.64999389648438","166.85000610351562","61331480","-12.96607084996868","SoftwareAndServices"
"IBM","M","2024-06-28","166.5399932861328","178.4600067138672","163.52999877929688","172.9499969482422","66296083","1.399419182206607","SoftwareAndServices"
"IBM","M","2024-07-31","173.4499969482422","196.25","173.3800048828125","192.13999938964844","54118424","3.6559728028670246","SoftwareAndServices"
"IBM","M","2024-08-30","192.80999755859375","202.1699981689453","181.80999755859375","202.1300048828125","62771541","11.09569400405892","SoftwareAndServices"
"IBM","M","2024-09-30","201.91000366210938","224.14999389648438","199.3350067138672","221.0800018310547","81434816","6.11698044006741","SoftwareAndServices"
"IBM","M","2024-10-31","220.6300048828125","237.3699951171875","203.50999450683594","206.72000122070312","87122120","9.375152867199898","SoftwareAndServices"
"IBM","M","2024-11-29","207.77000427246094","230.35000610351562","204.07000732421875","227.41000366210938","57756146","-6.495386507787915","SoftwareAndServices"
"IBM","M","2024-12-31","227.5","239.3000030517578","217.74000549316406","219.8300018310547","40601472","10.879971678269062","SoftwareAndServices"
"IBM","M","2025-01-31","221.82000732421875","261.79998779296875","214.8699951171875","255.6999969482422","73513394","-3.3331875067014294","SoftwareAndServices"
"IBM","M","2025-02-28","252.6699981689453","265.7200012207031","246.64999389648438","252.44000244140625","72756187","16.31715180749285","SoftwareAndServices"
"IBM","M","2025-03-31","255.27999877929688","266.45001220703125","237.2239990234375","248.66000366210938","85103871","-0.6135146360414012","SoftwareAndServices"
"IBM","M","2025-04-30","248.02999877929688","252.7899932861328","214.5","241.82000732421875","120775331","-1.4973850193073512","SoftwareAndServices"
"IBM","M","2025-05-30","241.44000244140625","269.2799987792969","237.94500732421875","259.05999755859375","78164014","-2.7507424745256137","SoftwareAndServices"
"IBM","M","2025-06-30","257.8500061035156","296.1600036621094","257.2200012207031","294.7799987792969","74395935","7.8514852263485535","SoftwareAndServices"
"IBM","M","2025-07-31","294.54998779296875","295.6099853515625","252.22000122070312","253.14999389648438","109055173","13.788312189196294","SoftwareAndServices"
"IBM","M","2025-08-08","251.40499877929688","255.","241.64999389648438","242.27000427246094","37558788","-14.122398078297394","SoftwareAndServices"
